state,date,last_name,first_name,filer_type,doc_type,doc_subtype,doc_filetype,amendment_number,doc_related_date,extension_number,doc_title,doc_id,doc_url
AK,2014-01-16,BEGICH,MARK,Former Senator,Periodic Transaction Report,,paper,,2014-01-16,,Periodic Transaction Report for 01/16/2014,AFD2A77B-4D57-456E-B32B-922C438CCD8D,https://efdsearch.senate.gov/search/view/paper/AFD2A77B-4D57-456E-B32B-922C438CCD8D/
AK,2014-02-24,BEGICH,MARK,"Begich, Mark (Senator)",Periodic Transaction Report,,html,,2014-02-24,,Periodic Transaction Report for 02/24/2014,0c6f8f10-0705-4437-8095-d9f5b0f9aa92,https://efdsearch.senate.gov/search/view/ptr/0c6f8f10-0705-4437-8095-d9f5b0f9aa92/
AK,2014-04-17,BEGICH,MARK,"Begich, Mark (Senator)",Periodic Transaction Report,,html,,2014-04-17,,Periodic Transaction Report for 04/17/2014,cce26003-ed4c-490d-9f9c-ab47415da7b5,https://efdsearch.senate.gov/search/view/ptr/cce26003-ed4c-490d-9f9c-ab47415da7b5/
AK,2014-09-20,BEGICH,MARK,"Begich, Mark (Senator)",Periodic Transaction Report,,html,,2014-09-20,,Periodic Transaction Report for 09/20/2014,94e3146c-e4e4-4dca-bcd3-ad0439256871,https://efdsearch.senate.gov/search/view/ptr/94e3146c-e4e4-4dca-bcd3-ad0439256871/
AK,2014-12-08,BEGICH,MARK,"Begich, Mark (Senator)",Periodic Transaction Report,,html,,2014-12-08,,Periodic Transaction Report for 12/08/2014,92073a09-54ac-4e40-b66e-6b6e89ad5256,https://efdsearch.senate.gov/search/view/ptr/92073a09-54ac-4e40-b66e-6b6e89ad5256/
AK,2012-04-30,BEGICH,MARK P,Former Senator,Financial Disclosure Report,Annual Report,paper,1,,,Annual Report (Amendment),04D05EFB-67BB-4BCC-8120-8A2A5C774826,https://efdsearch.senate.gov/search/view/paper/04D05EFB-67BB-4BCC-8120-8A2A5C774826/
AK,2012-05-15,BEGICH,MARK P,Former Senator,Financial Disclosure Report,Annual Report,paper,,,,Annual Report,4DD4E395-345C-4AF0-8AEB-E133192E3450,https://efdsearch.senate.gov/search/view/paper/4DD4E395-345C-4AF0-8AEB-E133192E3450/
AK,2012-09-10,BEGICH,MARK P,Former Senator,Periodic Transaction Report,,paper,,2012-09-10,,Periodic Transaction Report for 09/10/2012,771A3D9F-A2D5-4B37-9B2F-84535F6513FA,https://efdsearch.senate.gov/search/view/paper/771A3D9F-A2D5-4B37-9B2F-84535F6513FA/
AK,2012-12-05,BEGICH,MARK P,Former Senator,Periodic Transaction Report,,paper,,2012-12-05,,Periodic Transaction Report for 12/05/2012,D1277F03-9562-49E9-B724-EAD44EE7557F,https://efdsearch.senate.gov/search/view/paper/D1277F03-9562-49E9-B724-EAD44EE7557F/
AK,2013-02-27,BEGICH,MARK P,Former Senator,Periodic Transaction Report,,paper,,2013-02-27,,Periodic Transaction Report for 02/27/2013,82AAE77A-D129-4094-9D39-DEBB561EDFFF,https://efdsearch.senate.gov/search/view/paper/82AAE77A-D129-4094-9D39-DEBB561EDFFF/
